k_time,flow_id,source_sensor,path_to_car,rate_mbps
4,414,"(5, 19)","[(5, 19), (4, 19), (3, 19), (2, 19), (1, 19), (1, 18), (1, 17), (1, 16)] -> Car-1",5
4,438,"(5, 27)","[(5, 27), (4, 27), (3, 27), (2, 27), (1, 27), (1, 26)] -> Car-2",5
4,441,"(5, 28)","[(5, 28), (4, 28), (3, 28), (3, 27), (3, 26)] -> Car-2",3.4269777987050603
4,552,"(7, 5)","[(7, 5), (6, 5), (5, 5), (4, 5), (3, 5)] -> Car-0",5
4,555,"(7, 6)","[(7, 6), (6, 6), (5, 6), (4, 6), (3, 6), (2, 6)] -> Car-0",5
4,582,"(7, 15)","[(7, 15), (6, 15), (5, 15), (4, 15), (3, 15)] -> Car-1",5
4,585,"(7, 16)","[(7, 16), (6, 16), (5, 16), (4, 16), (3, 16)] -> Car-1",5
4,612,"(7, 25)","[(7, 25), (6, 25), (5, 25), (4, 25), (3, 25)] -> Car-2",5
4,615,"(7, 26)","[(7, 26), (6, 26), (5, 26), (4, 26), (3, 26)] -> Car-2",5
4,642,"(8, 5)","[(8, 5), (7, 5), (6, 5), (5, 5), (4, 5), (3, 5)] -> Car-0",5
4,645,"(8, 6)","[(8, 6), (7, 6), (6, 6), (5, 6), (4, 6), (3, 6), (2, 6)] -> Car-0",5
4,672,"(8, 15)","[(8, 15), (7, 15), (6, 15), (5, 15), (4, 15), (3, 15)] -> Car-1",5
4,675,"(8, 16)","[(8, 16), (7, 16), (6, 16), (5, 16), (4, 16), (3, 16)] -> Car-1",5
4,702,"(8, 25)","[(8, 25), (7, 25), (6, 25), (5, 25), (4, 25), (3, 25)] -> Car-2",5
4,705,"(8, 26)","[(8, 26), (7, 26), (6, 26), (5, 26), (4, 26), (3, 26)] -> Car-2",5
5,219,"(3, 14)","[(3, 14), (3, 15)] -> Car-1",1.0386627572987575
5,249,"(3, 24)","[(3, 24), (3, 25)] -> Car-2",3.3928426556455396
5,270,"(4, 1)","[(4, 1), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5)] -> Car-0",5
5,273,"(4, 2)","[(4, 2), (3, 2), (3, 3), (3, 4), (3, 5)] -> Car-0",5
